cluster_id,metric_cores,companies,recurrence_count,similarity_scores,unit_family,recommended_action,canonical_provisional_id,canonical_metric_core,low_confidence
cluster_057,market_share,Tata Consumer,1,,percentage,keep_provisional,Tata Consumer:tata_consumer_new_metric_distance_audit_applied:57,market_share,False
cluster_058,market_value,Tata Consumer,1,,monetary,keep_provisional,Tata Consumer:tata_consumer_new_metric_distance_audit_applied:58,market_value,False
cluster_059,rtd_market,Tata Consumer,1,,monetary,keep_provisional,Tata Consumer:tata_consumer_new_metric_distance_audit_applied:59,rtd_market,True
cluster_060,naturally_sourced_mineral_water_category,Tata Consumer,1,,monetary,keep_provisional,Tata Consumer:tata_consumer_new_metric_distance_audit_applied:60,naturally_sourced_mineral_water_category,True
cluster_061,pulses_and_derivatives_industry_growth,Tata Consumer,1,,percentage,keep_provisional,Tata Consumer:tata_consumer_new_metric_distance_audit_applied:61,pulses_and_derivatives_industry_growth,False
cluster_062,branded_spices_market,Tata Consumer,1,,monetary,keep_provisional,Tata Consumer:tata_consumer_new_metric_distance_audit_applied:62,branded_spices_market,True
cluster_063,branded_snacks_market,Tata Consumer,1,,monetary,keep_provisional,Tata Consumer:tata_consumer_new_metric_distance_audit_applied:63,branded_snacks_market,True
cluster_064,overall_outlets,Tata Consumer,1,,count,keep_provisional,Tata Consumer:tata_consumer_new_metric_distance_audit_applied:64,overall_outlets,False
cluster_065,tea_business_value_growth,Tata Consumer,1,,percentage,keep_provisional,Tata Consumer:tata_consumer_new_metric_distance_audit_applied:65,tea_business_value_growth,True
cluster_066,daily_requirement_vitamins,Tata Consumer,1,,percentage,keep_provisional,Tata Consumer:tata_consumer_new_metric_distance_audit_applied:66,daily_requirement_vitamins,True
cluster_067,farmers | supply_chain_farmers,ITC | Tata Consumer,2,Tata Consumer:tata_consumer_new_metric_distance_audit_applied:67<->ITC:itc_new_metric_distance_audit_applied:59:1.000,unknown,watch,Tata Consumer:tata_consumer_new_metric_distance_audit_applied:67,farmers,False
cluster_068,organic_certified_land,Tata Consumer,1,,unknown,keep_provisional,Tata Consumer:tata_consumer_new_metric_distance_audit_applied:68,organic_certified_land,False
cluster_069,brand_distribution,Tata Consumer,1,,count,keep_provisional,Tata Consumer:tata_consumer_new_metric_distance_audit_applied:69,brand_distribution,False
cluster_070,weighted_distribution,Tata Consumer,1,,percentage_points,keep_provisional,Tata Consumer:tata_consumer_new_metric_distance_audit_applied:70,weighted_distribution,False
cluster_071,overall_portfolio_growth,Tata Consumer,1,,percentage,keep_provisional,Tata Consumer:tata_consumer_new_metric_distance_audit_applied:71,overall_portfolio_growth,False
cluster_072,independent lab study,Tata Consumer,1,,unknown,keep_provisional,Tata Consumer:tata_consumer_new_metric_distance_audit_applied:72,independent lab study,True
cluster_073,business_scaling,Tata Consumer,1,,ratio,keep_provisional,Tata Consumer:tata_consumer_new_metric_distance_audit_applied:73,business_scaling,False
cluster_074,business_scaling,Tata Consumer,1,,ratio,keep_provisional,Tata Consumer:tata_consumer_new_metric_distance_audit_applied:74,business_scaling,False
cluster_075,business_growth,Tata Consumer,1,,percentage,keep_provisional,Tata Consumer:tata_consumer_new_metric_distance_audit_applied:75,business_growth,True
cluster_076,support_for_breast_cancer_research,Tata Consumer,1,,duration,keep_provisional,Tata Consumer:tata_consumer_new_metric_distance_audit_applied:76,support_for_breast_cancer_research,True
cluster_077,most_trusted_tea_brand_duration,Tata Consumer,1,,duration,keep_provisional,Tata Consumer:tata_consumer_new_metric_distance_audit_applied:77,most_trusted_tea_brand_duration,True
cluster_078,tea_market_share,Tata Consumer,1,,percentage_points,keep_provisional,Tata Consumer:tata_consumer_new_metric_distance_audit_applied:78,tea_market_share,True
cluster_079,solubles_portfolio,Tata Consumer,1,,percentage,keep_provisional,Tata Consumer:tata_consumer_new_metric_distance_audit_applied:79,solubles_portfolio,True
cluster_080,plantations_business,Tata Consumer,1,,percentage,keep_provisional,Tata Consumer:tata_consumer_new_metric_distance_audit_applied:80,plantations_business,True
cluster_081,coffee_business,Tata Consumer,1,,duration,keep_provisional,Tata Consumer:tata_consumer_new_metric_distance_audit_applied:81,coffee_business,True
cluster_082,tata_starbucks_store_base,Tata Consumer,1,,count,keep_provisional,Tata Consumer:tata_consumer_new_metric_distance_audit_applied:82,tata_starbucks_store_base,False
cluster_083,new_stores_count,Tata Consumer,1,,count,keep_provisional,Tata Consumer:tata_consumer_new_metric_distance_audit_applied:83,new_stores_count,False
cluster_084,city_count,Tata Consumer,1,,count,keep_provisional,Tata Consumer:tata_consumer_new_metric_distance_audit_applied:84,city_count,False
cluster_085,customer_reach,Tata Consumer,1,,unknown,keep_provisional,Tata Consumer:tata_consumer_new_metric_distance_audit_applied:85,customer_reach,False
cluster_086,growth_contribution,Tata Consumer,1,,percentage,keep_provisional,Tata Consumer:tata_consumer_new_metric_distance_audit_applied:86,growth_contribution,False
cluster_087,interest_coverage_ratio,Tata Consumer,1,,unknown,keep_provisional,Tata Consumer:tata_consumer_new_metric_distance_audit_applied:87,interest_coverage_ratio,True
cluster_088,off_roll_staff,Tata Consumer,1,,unknown,keep_provisional,Tata Consumer:tata_consumer_new_metric_distance_audit_applied:88,off_roll_staff,False
cluster_089,attrition,Tata Consumer,1,,percentage,keep_provisional,Tata Consumer:tata_consumer_new_metric_distance_audit_applied:89,attrition,False
cluster_090,people_hired,Tata Consumer,1,,unknown,keep_provisional,Tata Consumer:tata_consumer_new_metric_distance_audit_applied:90,people_hired,True
cluster_091,fmcg_sector_ranking,Tata Consumer,1,,unknown,keep_provisional,Tata Consumer:tata_consumer_new_metric_distance_audit_applied:91,fmcg_sector_ranking,True
cluster_092,employee_engagement_survey_participation,Tata Consumer,1,,percentage,keep_provisional,Tata Consumer:tata_consumer_new_metric_distance_audit_applied:92,employee_engagement_survey_participation,False
cluster_093,employee_engagement_index,Tata Consumer,1,,unknown,keep_provisional,Tata Consumer:tata_consumer_new_metric_distance_audit_applied:93,employee_engagement_index,False
cluster_094,well_being_initiatives_beneficiaries,Tata Consumer,1,,count,keep_provisional,Tata Consumer:tata_consumer_new_metric_distance_audit_applied:94,well_being_initiatives_beneficiaries,False
cluster_095,learning_resources,Tata Consumer,1,,unknown,keep_provisional,Tata Consumer:tata_consumer_new_metric_distance_audit_applied:95,learning_resources,True
cluster_096,manager_capability_development,Tata Consumer,1,,duration,keep_provisional,Tata Consumer:tata_consumer_new_metric_distance_audit_applied:96,manager_capability_development,True
cluster_097,exports_contribution,Tata Consumer,1,,percentage,keep_provisional,Tata Consumer:tata_consumer_new_metric_distance_audit_applied:97,exports_contribution,True
cluster_098,households_reach,Tata Consumer,1,,unknown,keep_provisional,Tata Consumer:tata_consumer_new_metric_distance_audit_applied:98,households_reach,False
cluster_099,direct_outlet_reach,Tata Consumer,1,,count,keep_provisional,Tata Consumer:tata_consumer_new_metric_distance_audit_applied:99,direct_outlet_reach,False
cluster_100,total_outlet_reach,Tata Consumer,1,,count,keep_provisional,Tata Consumer:tata_consumer_new_metric_distance_audit_applied:100,total_outlet_reach,False
cluster_101,offices_count,Tata Consumer,1,,count,keep_provisional,Tata Consumer:tata_consumer_new_metric_distance_audit_applied:101,offices_count,True
cluster_102,locations_count,Tata Consumer,1,,unknown,keep_provisional,Tata Consumer:tata_consumer_new_metric_distance_audit_applied:102,locations_count,True
cluster_103,international_markets_count,Tata Consumer,1,,count,keep_provisional,Tata Consumer:tata_consumer_new_metric_distance_audit_applied:103,international_markets_count,True
cluster_104,differently abled workers | differently_abled_workers,ITC | Tata Consumer,2,Tata Consumer:tata_consumer_new_metric_distance_audit_applied:104<->ITC:itc_new_metric_distance_audit_applied:349:0.915 | Tata Consumer:tata_consumer_new_metric_distance_audit_applied:104<->ITC:itc_new_metric_distance_audit_applied:350:0.915 | Tata Consumer:tata_consumer_new_metric_distance_audit_applied:104<->ITC:itc_new_metric_distance_audit_applied:351:1.000,count,watch,ITC:itc_new_metric_distance_audit_applied:350,differently_abled_workers,False
cluster_105,female representation,Tata Consumer,1,,unknown,keep_provisional,Tata Consumer:tata_consumer_new_metric_distance_audit_applied:105,female representation,True
cluster_106,female representation,Tata Consumer,1,,unknown,keep_provisional,Tata Consumer:tata_consumer_new_metric_distance_audit_applied:106,female representation,True
cluster_107,employees,Tata Consumer,1,,unknown,keep_provisional,Tata Consumer:tata_consumer_new_metric_distance_audit_applied:107,employees,False
cluster_108,workers,Tata Consumer,1,,unknown,keep_provisional,Tata Consumer:tata_consumer_new_metric_distance_audit_applied:108,workers,False
cluster_109,workers,Tata Consumer,1,,unknown,keep_provisional,Tata Consumer:tata_consumer_new_metric_distance_audit_applied:109,workers,False
cluster_110,differently abled employees,Tata Consumer,1,,unknown,keep_provisional,Tata Consumer:tata_consumer_new_metric_distance_audit_applied:110,differently abled employees,False
cluster_111,differently abled employees | differently_abled_employees,ITC | Tata Consumer,2,Tata Consumer:tata_consumer_new_metric_distance_audit_applied:111<->ITC:itc_new_metric_distance_audit_applied:346:0.912 | Tata Consumer:tata_consumer_new_metric_distance_audit_applied:111<->ITC:itc_new_metric_distance_audit_applied:347:0.912 | Tata Consumer:tata_consumer_new_metric_distance_audit_applied:111<->ITC:itc_new_metric_distance_audit_applied:348:1.000,count,watch,ITC:itc_new_metric_distance_audit_applied:347,differently_abled_employees,False
cluster_112,differently abled workers,Tata Consumer,1,,unknown,keep_provisional,Tata Consumer:tata_consumer_new_metric_distance_audit_applied:112,differently abled workers,False
cluster_113,shareholding,Tata Consumer,1,,percentage,keep_provisional,Tata Consumer:tata_consumer_new_metric_distance_audit_applied:113,shareholding,False
cluster_114,shareholding,Tata Consumer,1,,percentage,keep_provisional,Tata Consumer:tata_consumer_new_metric_distance_audit_applied:114,shareholding,True
cluster_115,shareholding,Tata Consumer,1,,percentage,keep_provisional,Tata Consumer:tata_consumer_new_metric_distance_audit_applied:115,shareholding,True
cluster_116,shareholding,Tata Consumer,1,,percentage,keep_provisional,Tata Consumer:tata_consumer_new_metric_distance_audit_applied:116,shareholding,True
cluster_117,shareholding,Tata Consumer,1,,percentage,keep_provisional,Tata Consumer:tata_consumer_new_metric_distance_audit_applied:117,shareholding,True
cluster_118,shareholding,Tata Consumer,1,,percentage,keep_provisional,Tata Consumer:tata_consumer_new_metric_distance_audit_applied:118,shareholding,True
cluster_119,shareholding,Tata Consumer,1,,percentage,keep_provisional,Tata Consumer:tata_consumer_new_metric_distance_audit_applied:119,shareholding,True
cluster_120,shareholding,Tata Consumer,1,,percentage,keep_provisional,Tata Consumer:tata_consumer_new_metric_distance_audit_applied:120,shareholding,False
cluster_121,shareholding,Tata Consumer,1,,percentage,keep_provisional,Tata Consumer:tata_consumer_new_metric_distance_audit_applied:121,shareholding,False
cluster_122,shareholding,Tata Consumer,1,,percentage,keep_provisional,Tata Consumer:tata_consumer_new_metric_distance_audit_applied:122,shareholding,False
cluster_123,shareholding,Tata Consumer,1,,percentage,keep_provisional,Tata Consumer:tata_consumer_new_metric_distance_audit_applied:123,shareholding,False
cluster_124,shareholding,Tata Consumer,1,,percentage,keep_provisional,Tata Consumer:tata_consumer_new_metric_distance_audit_applied:124,shareholding,True
cluster_125,shareholding,Tata Consumer,1,,percentage,keep_provisional,Tata Consumer:tata_consumer_new_metric_distance_audit_applied:125,shareholding,True
cluster_126,shareholding,Tata Consumer,1,,percentage,keep_provisional,Tata Consumer:tata_consumer_new_metric_distance_audit_applied:126,shareholding,True
cluster_127,shareholding,Tata Consumer,1,,percentage,keep_provisional,Tata Consumer:tata_consumer_new_metric_distance_audit_applied:127,shareholding,True
cluster_128,shareholding,Tata Consumer,1,,percentage,keep_provisional,Tata Consumer:tata_consumer_new_metric_distance_audit_applied:128,shareholding,False
cluster_129,shareholding,Tata Consumer,1,,percentage,keep_provisional,Tata Consumer:tata_consumer_new_metric_distance_audit_applied:129,shareholding,False
cluster_130,shareholding,Tata Consumer,1,,percentage,keep_provisional,Tata Consumer:tata_consumer_new_metric_distance_audit_applied:130,shareholding,True
cluster_131,shareholding,Tata Consumer,1,,percentage,keep_provisional,Tata Consumer:tata_consumer_new_metric_distance_audit_applied:131,shareholding,True
cluster_132,shareholding,Tata Consumer,1,,percentage,keep_provisional,Tata Consumer:tata_consumer_new_metric_distance_audit_applied:132,shareholding,True
cluster_133,shareholding,Tata Consumer,1,,percentage,keep_provisional,Tata Consumer:tata_consumer_new_metric_distance_audit_applied:133,shareholding,False
cluster_134,shareholding,Tata Consumer,1,,percentage,keep_provisional,Tata Consumer:tata_consumer_new_metric_distance_audit_applied:134,shareholding,True
cluster_135,shareholding,Tata Consumer,1,,percentage,keep_provisional,Tata Consumer:tata_consumer_new_metric_distance_audit_applied:135,shareholding,True
cluster_136,shareholding,Tata Consumer,1,,percentage,keep_provisional,Tata Consumer:tata_consumer_new_metric_distance_audit_applied:136,shareholding,True
cluster_137,shareholding,Tata Consumer,1,,percentage,keep_provisional,Tata Consumer:tata_consumer_new_metric_distance_audit_applied:137,shareholding,True
cluster_138,shareholding,Tata Consumer,1,,percentage,keep_provisional,Tata Consumer:tata_consumer_new_metric_distance_audit_applied:138,shareholding,True
cluster_139,shareholding,Tata Consumer,1,,percentage,keep_provisional,Tata Consumer:tata_consumer_new_metric_distance_audit_applied:139,shareholding,True
cluster_140,shareholding,Tata Consumer,1,,percentage,keep_provisional,Tata Consumer:tata_consumer_new_metric_distance_audit_applied:140,shareholding,False
cluster_141,shareholding,Tata Consumer,1,,percentage,keep_provisional,Tata Consumer:tata_consumer_new_metric_distance_audit_applied:141,shareholding,False
cluster_142,shareholding,Tata Consumer,1,,percentage,keep_provisional,Tata Consumer:tata_consumer_new_metric_distance_audit_applied:142,shareholding,True
cluster_143,shareholding,Tata Consumer,1,,percentage,keep_provisional,Tata Consumer:tata_consumer_new_metric_distance_audit_applied:143,shareholding,True
cluster_144,shareholding,Tata Consumer,1,,percentage,keep_provisional,Tata Consumer:tata_consumer_new_metric_distance_audit_applied:144,shareholding,True
cluster_145,shareholding,Tata Consumer,1,,percentage,keep_provisional,Tata Consumer:tata_consumer_new_metric_distance_audit_applied:145,shareholding,True
cluster_146,value_chain_partners_complaints_pending_resolution,Tata Consumer,1,,unknown,keep_provisional,Tata Consumer:tata_consumer_new_metric_distance_audit_applied:146,value_chain_partners_complaints_pending_resolution,True
cluster_147,other_complaints_filed,Tata Consumer,1,,unknown,keep_provisional,Tata Consumer:tata_consumer_new_metric_distance_audit_applied:147,other_complaints_filed,True
cluster_148,other_complaints_pending_resolution,Tata Consumer,1,,unknown,keep_provisional,Tata Consumer:tata_consumer_new_metric_distance_audit_applied:148,other_complaints_pending_resolution,True
cluster_149,complaints_filed | shareholders_complaints_filed,Nestle India | Tata Consumer,2,Tata Consumer:tata_consumer_new_metric_distance_audit_applied:149<->Nestle India:nestle_india_new_metric_distance_audit_v2:57:0.908,unknown,watch,Tata Consumer:tata_consumer_new_metric_distance_audit_applied:149,shareholders_complaints_filed,True
cluster_150,shareholders_complaints_pending_resolution,Tata Consumer,1,,unknown,keep_provisional,Tata Consumer:tata_consumer_new_metric_distance_audit_applied:150,shareholders_complaints_pending_resolution,True
cluster_151,complaints_filed | employees_workers_complaints_filed,Nestle India | Tata Consumer,2,Tata Consumer:tata_consumer_new_metric_distance_audit_applied:151<->Nestle India:nestle_india_new_metric_distance_audit_v2:59:0.918,count,watch,Tata Consumer:tata_consumer_new_metric_distance_audit_applied:151,employees_workers_complaints_filed,False
cluster_152,complaints_pending_resolution | employees_workers_complaints_pending_resolution,Nestle India | Tata Consumer,2,Tata Consumer:tata_consumer_new_metric_distance_audit_applied:152<->Nestle India:nestle_india_new_metric_distance_audit_v2:60:0.832,count,watch,Tata Consumer:tata_consumer_new_metric_distance_audit_applied:152,employees_workers_complaints_pending_resolution,False
cluster_153,customers_complaints_pending_resolution,Tata Consumer,1,,unknown,keep_provisional,Tata Consumer:tata_consumer_new_metric_distance_audit_applied:153,customers_complaints_pending_resolution,True
cluster_154,value_chain_partners_complaints_filed,Tata Consumer,1,,unknown,keep_provisional,Tata Consumer:tata_consumer_new_metric_distance_audit_applied:154,value_chain_partners_complaints_filed,True
cluster_155,community_initiatives_impacted_lives,Tata Consumer,1,,unknown,keep_provisional,Tata Consumer:tata_consumer_new_metric_distance_audit_applied:155,community_initiatives_impacted_lives,True
cluster_156,iso_certified_operations,Tata Consumer,1,,percentage,keep_provisional,Tata Consumer:tata_consumer_new_metric_distance_audit_applied:156,iso_certified_operations,False
cluster_157,womens_participation,Tata Consumer,1,,percentage,keep_provisional,Tata Consumer:tata_consumer_new_metric_distance_audit_applied:157,womens_participation,False
cluster_158,independent_directors,Tata Consumer,1,,percentage,keep_provisional,Tata Consumer:tata_consumer_new_metric_distance_audit_applied:158,independent_directors,True
cluster_159,meeting_frequency,Tata Consumer,1,,duration,keep_provisional,Tata Consumer:tata_consumer_new_metric_distance_audit_applied:159,meeting_frequency,True
cluster_160,review_frequency,Tata Consumer,1,,duration,keep_provisional,Tata Consumer:tata_consumer_new_metric_distance_audit_applied:160,review_frequency,True
cluster_161,assurance_on_BRSR_core_indicators,Tata Consumer,1,,unknown,keep_provisional,Tata Consumer:tata_consumer_new_metric_distance_audit_applied:161,assurance_on_BRSR_core_indicators,True
cluster_162,training_coverage,Tata Consumer,1,,percentage,keep_provisional,Tata Consumer:tata_consumer_new_metric_distance_audit_applied:162,training_coverage,True
cluster_163,training_coverage,Tata Consumer,1,,percentage,keep_provisional,Tata Consumer:tata_consumer_new_metric_distance_audit_applied:163,training_coverage,True
cluster_164,training_coverage,Tata Consumer,1,,count,keep_provisional,Tata Consumer:tata_consumer_new_metric_distance_audit_applied:164,training_coverage,False
cluster_165,training_coverage,Tata Consumer,1,,percentage,keep_provisional,Tata Consumer:tata_consumer_new_metric_distance_audit_applied:165,training_coverage,False
cluster_166,training_coverage,Tata Consumer,1,,unknown,keep_provisional,Tata Consumer:tata_consumer_new_metric_distance_audit_applied:166,training_coverage,True
cluster_167,disciplinary_action,Tata Consumer,1,,unknown,keep_provisional,Tata Consumer:tata_consumer_new_metric_distance_audit_applied:167,disciplinary_action,False
cluster_168,new_health_and_wellness_products,Tata Consumer,1,,count,keep_provisional,Tata Consumer:tata_consumer_new_metric_distance_audit_applied:168,new_health_and_wellness_products,False
cluster_169,tea_sales,Tata Consumer,1,,weight,keep_provisional,Tata Consumer:tata_consumer_new_metric_distance_audit_applied:169,tea_sales,True
cluster_170,zero_waste_to_landfill_status,Tata Consumer,1,,percentage,keep_provisional,Tata Consumer:tata_consumer_new_metric_distance_audit_applied:170,zero_waste_to_landfill_status,False
